Nombre del vehículo,Velocidad Máxima (Km/h),Aceleración 0 a 100 Km/h (seg),Rango (Km),Carga rápida (Km/h),Europa (€)
Maserati GranTurismo Folgore,320.0,2.7,420.0,980.0,192470.66666666666
Mini Cooper E,160.0,7.3,235.0,360.0,32963.333333333336
Audi Q4 e-tron 55 quattro,180.0,5.4,395.0,590.0,60246.666666666664
Porsche Taycan 4S Plus,250.0,3.7,550.0,1210.0,119749.66666666667
Ford Mustang Mach-E SR RWD,180.0,7.3,380.0,460.0,50976.666666666664
Renault Kangoo E-Tech Electric,132.0,12.6,220.0,230.0,39300.0
Lucid Air Pure RWD,200.0,4.7,565.0,940.0,86500.0
Seres 3,155.0,8.9,260.0,240.0,37995.0
Opel Astra Sports Tourer Electric,170.0,9.3,310.0,500.0,41661.333333333336
Zeekr X Long Range RWD,180.0,5.6,355.0,590.0,44730.0
Mercedes-Benz EQS SUV 450+,210.0,6.8,540.0,680.0,118113.0
MG Marvel R Performance,200.0,4.9,350.0,380.0,51737.5
Dacia Spring Electric 65,125.0,13.7,160.0,170.0,18981.666666666668
Hongqi E-HS9 84 kWh,200.0,6.5,320.0,440.0,69995.0
BMW i7 eDrive50,205.0,5.5,520.0,780.0,112789.33333333333
Audi Q4 Sportback e-tron 45,180.0,6.7,435.0,650.0,54703.333333333336
Audi SQ8 e-tron,210.0,4.5,455.0,570.0,97478.33333333333
Volkswagen ID. Buzz LWB GTX,160.0,6.5,355.0,570.0,76333.33333333333
Renault Megane E-Tech EV40 130hp,150.0,10.0,260.0,370.0,39185.0
Renault Scenic E-Tech EV60 170hp,150.0,8.6,340.0,400.0,41935.0
Porsche Taycan Turbo GT Weissach,305.0,2.2,475.0,1050.0,225400.0
Peugeot e-2008 50 kWh,150.0,9.9,270.0,430.0,38935.0
BMW i7 M70 xDrive,250.0,3.7,490.0,730.0,178330.66666666666
Ford Mustang Mach-E GT,200.0,3.7,425.0,380.0,75680.0
GWM ORA 3 63 kWh,160.0,8.2,340.0,290.0,39742.5
Smart #3 Premium,180.0,5.8,355.0,550.0,44181.666666666664
NIO EL6 100 kWh,200.0,4.5,435.0,630.0,75700.0
