Nombre del vehículo,Velocidad máxima,Tiempo de 0 a 100 km/h,Rango,Velocidad de carga rápida,Batería utilizable
EQE SUV AMG 53 4MATIC+,240 km/h,3.5 sec,410 km,610 km/h,90.6
ID. Buzz LWB Pro,160 km/h,7.9 sec,335 km,460 km/h,77
BEO 86 kWh,150 km/h,8.0 sec,390 km,290 km/h,81
#1 Pulse,180 km/h,4.5 sec,325 km,500 km/h,62
Taycan Turbo,260 km/h,2.7 sec,520 km,1140 km/h,97
ET5 Touring 75 kWh,200 km/h,4.0 sec,385 km,570 km/h,70.5
Taycan Turbo S Cross Turismo,250 km/h,2.5 sec,475 km,1050 km/h,97
500e Cabrio 24 kWh,135 km/h,9.0 sec,135 km,230 km/h,21.3
GV60 Sport,200 km/h,5.5 sec,380 km,990 km/h,74
500e 3+1 24 kWh,135 km/h,9.0 sec,135 km,230 km/h,21.3
EL6 75 kWh,200 km/h,4.5 sec,350 km,520 km/h,70.5
Taycan Turbo S Sport Turismo,260 km/h,2.4 sec,460 km,1010 km/h,97
VF 8 Plus Extended Range,200 km/h,5.5 sec,425 km,550 km/h,87.7
U6,160 km/h,7.0 sec,350 km,430 km/h,60
EL7 75 kWh,200 km/h,3.9 sec,340 km,510 km/h,70.5
Taycan 4S Plus Sport Turismo,250 km/h,3.7 sec,495 km,1090 km/h,97
G6 RWD Long Range,200 km/h,6.7 sec,465 km,970 km/h,83
Taycan Sport Turismo,230 km/h,4.8 sec,445 km,980 km/h,82.3
Taycan 4S Sport Turismo,250 km/h,3.7 sec,430 km,950 km/h,82.3
500e Convertible,155 km/h,7.0 sec,225 km,370 km/h,37.8
Taycan Turbo Cross Turismo,250 km/h,2.8 sec,495 km,1090 km/h,97
EQV 250 Long,160 km/h,12.0 sec,215 km,200 km/h,60
eVito Tourer Extra-Long 60 kWh,160 km/h,12.0 sec,215 km,200 km/h,60
Taycan Turbo Sport Turismo,260 km/h,2.7 sec,470 km,1030 km/h,97
eVito Tourer Long 60 kWh,160 km/h,12.0 sec,220 km,210 km/h,60
EQV 250 Extra-Long,160 km/h,12.0 sec,210 km,200 km/h,60
GV60 Sport Plus,235 km/h,4.0 sec,365 km,950 km/h,74
G6 AWD Performance,200 km/h,4.1 sec,455 km,950 km/h,83
G6 RWD Standard Range,200 km/h,6.9 sec,360 km,750 km/h,63
